Bin,Count
3.64,1200
3.65,1162
3.66,1199
3.67,1208
3.68,1210
3.69,1178
3.7,1161
3.71,1166
3.72,1225
3.73,1159
3.74,1213
3.75,1164
3.76,1163
3.77,1198
3.78,1173
3.79,1187
3.8,1144
3.81,1169
3.82,1202
3.83,1263
3.84,1185
3.85,1133
3.86,1199
3.87,1215
3.88,1282
3.89,1227
3.9,1131
3.91,1076
3.92,1204
3.93,1210
3.94,1164
3.95,1159
3.96,1194
3.97,1239
3.98,1185
3.99,1211
4,1169
4.01,1162
4.02,1208
4.03,1209
4.04,1174
4.05,1197
4.06,1255
4.07,1245
4.08,1197
4.09,1185
4.1,1145
4.11,1178
4.12,1203
4.13,1183
4.14,1175
4.15,1232
4.16,1204
4.17,1196
4.18,1208
4.19,1140
4.2,1161
4.21,1121
4.22,1198
4.23,1229
4.24,1159
4.25,1144
4.26,1158
4.27,1221
4.28,1199
4.29,1179
4.3,1180
4.31,1211
4.32,1149
4.33,1125
4.34,1084
4.35,1185
4.36,1151
4.37,1205
4.38,1153
4.39,1171
4.4,1177
4.41,1197
4.42,1125
4.43,1194
4.44,1177
4.45,1249
4.46,1184
4.47,1159
4.48,1194
4.49,1200
4.5,1144
4.51,1241
4.52,1188
4.53,1235
4.54,1131
4.55,1235
4.56,1187
4.57,1184
4.58,1256
4.59,1196
4.6,1161
4.61,1187
4.62,1200
4.63,1202
4.64,1164
4.65,1223
4.66,1110
4.67,1183
4.68,1217
4.69,1189
4.7,1144
4.71,1206
4.72,1195
4.73,1130
4.74,1225
4.75,1163
4.76,1160
4.77,1187
4.78,1121
4.79,1123
4.8,1142
4.81,1112
4.82,1156
4.83,1159
4.84,1220
4.85,1146
4.86,1104
4.87,1176
4.88,1174
4.89,1188
4.9,1156
4.91,1130
4.92,1237
4.93,1160
4.94,1150
4.95,1138
4.96,1190
4.97,1179
4.98,1209
4.99,1204
5,1082
